Ignore,Ignore,Ignore,Ignore,Source,Target,Value,Color,,Label,Number,X,Y,Left side of sankey below this line
Pathways to Zero,Buildings,3,Building decarbonization,8,81,6,#ebc334,,ECE,70,0.1,0.77,
Residential Energy +,Buildings,5,Building decarbonization,9,81,3,#ebc334,,Global Climate Finance,71,0.1,0.86,
Portfolio Energy Optimization,Buildings,4,Building decarbonization,10,81,5,#ebc334,,Carbon-Free Cities and Regions,72,0.1,0.95,
Global Cooling Prize,Buildings,4,Building decarbonization,11,81,4,#ebc334,,Emerging Solutions,73,0.9,0.05,
Realize,Buildings,6,Building decarbonization,12,81,4,#ebc334,,Communications,74,0.9,0.15,
States and Cities campaigns (including city cohorts),Building Electrification,1,Building decarbonization,13,81,6,#d6eb34,,Development,75,0.9,0.25,
Media and Communications,Building Electrification,1,Building decarbonization,14,81,1,#d6eb34,,Operations,76,0.9,0.35,
Health/ Air Pollution,Building Electrification,3,Building decarbonization,15,81,1,#d6eb34,,Climate-aligned sectors,77,0.9,0.45,
Regulatory/Utility Solutions,Building Electrification,2,Building decarbonization,16,81,3,#d6eb34,,Mobility decarbonization,78,0.9,0.55,
Technical Support and Research,Building Electrification,6.3,Building decarbonization,17,81,2,#d6eb34,,Making emissions visible,79,0.9,0.65,
Coal End Game,Electricity,5,Power sector decarbonization,18,82,10.7,#77eb34,,Breakthrough technology,80,0.9,0.75,
Distributed grid infrastructure (CEP),Electricity,,Power sector decarbonization,19,82,8.25,#77eb34,,Building decarbonization,81,0.9,0.85,
Utility Models,Electricity,4,Power sector decarbonization,20,82,0,#77eb34,,Power sector decarbonization,82,0.9,0.95,
eLab,Electricity,2,Power sector decarbonization,21,82,7.5,#77eb34,,Urban transformation,83,,,
Shine,Electricity,8.7,Legacy,22,93,0,#77eb34,,China Strategy,84,,,
Business models and regulatory design,Electricity,,Power sector decarbonization,23,82,8.3,#77eb34,,India Strategy,85,,,
Zero carbon cities implementation,China,4,China Strategy,24,84,4,#34ebc3,,Sharing the Power,86,,,
Zero carbon cities implementation,China,3,China Strategy,24,84,3,#34ebc3,,Implementation unit,87,,,
Power market reform,China,6,China Strategy,25,84,6,#34ebc3,,Emerging Solutions [PC],88,,,
Harder to abate,China,7,China Strategy,26,84,7,#34ebc3,,US Policy,89,,,
EV grid,Mobility,2,Mobility decarbonization,27,78,2,#34c9eb,,Communications [PC],90,,,
Mobility Innovation Lab,Mobility,3,Mobility decarbonization,28,78,3,#34c9eb,,Development [PC],91,,,
eBuses/fleets,Mobility,4,Mobility decarbonization,29,78,4,#34c9eb,,Operations [PC],92,,,
Mobility data,Mobility,0,Mobility decarbonization,30,78,0,#34c9eb,,Legacy,93,,,
Urban Mobility Lab,India,7.5,India Strategy,31,85,8,#a6cff7,,,,,,
National Mobility Platform,India,5,India Strategy,32,85,6,#a6cff7,,,,,,
DISCOM transformation platform,India,3.5,India Strategy,33,85,2,#a6cff7,,,,,,
Third Derivative (Energy collaborative),RMI Ventures,2.3,Breakthrough technology,34,80,2.3,#eff7a6,,,,,,
"Market affiliates (EWF, WattTime etc)",RMI Ventures,0,Making emissions visible,35,79,0,#eff7a6,,,,,,
Admin - ECE,ECE,,Sharing the Power,36,86,8,#ffb3e6,,,,,,
Minigrids,ECE,2,Sharing the Power,37,86,2,#ffb3e6,,,,,,
Minigrids,ECE,0,Implementation unit,37,87,0,#ffb3e6,,,,,,
Productive Use,ECE,6,Implementation unit,38,87,6,#ffb3e6,,,,,,
Islands,ECE,11,Implementation unit,39,87,11,#ffb3e6,,,,,,
SE Asia,ECE,2,Implementation unit,40,87,2,#ffb3e6,,,,,,
Power sector DERs,ECE,5,Implementation unit,41,87,5,#ffb3e6,,,,,,
Climate Aligned Finance,Global Climate Finance,,Climate-aligned sectors,46,77,1.5,#ffb3b3,,,,,,
Climate Finance Access Network,Global Climate Finance,2,Sharing the Power,43,86,3,#ffb3b3,,,,,,
Coal Financing,Global Climate Finance,0.5,Power sector decarbonization,44,82,1,#ffb3b3,,,,,,
Green Investment Bank,Global Climate Finance,2,Sharing the Power,45,86,3,#ffb3b3,,,,,,
Climate Aligned Finance,Global Climate Finance,7,Climate-aligned sectors,46,77,6,#ffb3b3,,,,,,
Results Based Climate Finance,Global Climate Finance,4,Legacy,47,93,0,#ffb3b3,,,,,,
America's Pledge,Carbon-Free Cities and Regions,4,US Policy,48,89,4,#d2b3ff,,,,,,
Beyond Carbon,Carbon-Free Cities and Regions,4,US Policy,49,89,7,#d2b3ff,,,,,,
Cities Renewable Accelerator,Carbon-Free Cities and Regions,10,Urban transformation,50,83,10,#d2b3ff,,,,,,
Admin - ES,Emerging Solutions,6,Emerging Solutions [PC],51,88,2.5,#deff63,,,,,,
Pathways for Global Energy Transformation,Emerging Solutions,5,Emerging Solutions [PC],52,88,5.75,#deff63,,,,,,
Global Energy Solutions Lab,Emerging Solutions,1,Emerging Solutions [PC],53,88,2.25,#deff63,,,,,,
COM,Communications,,Communications [PC],55,90,13,#ff8833,,,,,,
DEV,Development,,Development [PC],56,91,10,#d9d9d9,,,,,,
CEO Admin,Operations,,Operations [PC],57,92,6,#32a852,,,,,,
Finance,Operations,,Operations [PC],58,92,8,#32a852,,,,,,
HR,Operations,,Operations [PC],59,92,7,#32a852,,,,,,
IT,Operations,,Operations [PC],60,92,4,#32a852,,,,,,
PMO,Operations,,Operations [PC],61,92,4,#32a852,,,,,,
